seed_level	seed_expression	seed_reading	partner_level	partner_expression	partner_reading	position	seed_mora	partner_mora	seed_example	partner_example
2	商店	しょうてん	2	頂点	ちょうてん	0	しょ	ちょ	駅前の商店で買った。	頂点に達した。
2	回数	かいすう	2	開通	かいつう	2	す	つ	回数を数える。	新しい道路が開通した。
2	官庁	かんちょう	2	鑑賞	かんしょう	2	ちょ	しょ	官庁で働いている。	映画を鑑賞する。
2	構造	こうぞう	2	高層	こうそう	2	ぞ	そ	建物の構造を調べる。	高層ビルが立ち並ぶ。
2	焦点	しょうてん	2	頂点	ちょうてん	0	しょ	ちょ	話の焦点がぼやけている。	頂点に達した。
2	直前	ちょくぜん	2	直線	ちょくせん	2	ぜ	せ	試験の直前は緊張する。	直線を引く。
2	終了	しゅうりょう	2	重量	じゅうりょう	0	しゅ	じゅ	会議が終了しました。	荷物の重量を量る。
2	終点	しゅうてん	2	重点	じゅうてん	0	しゅ	じゅ	終点で降ります。	文法に重点を置く。
2	賞金	しょうきん	2	雑巾	ぞうきん	0	しょ	ぞ	賞金をもらった。	雑巾で床を拭いた。
2	乗車	じょうしゃ	2	商社	しょうしゃ	0	じょ	しょ	乗車の際は切符が必要です。	商社で働いています。
2	各地	かくち	2	各自	かくじ	2	ち	じ	各地で雪が降った。	各自で持ってきてください。
2	地名	ちめい	2	氏名	しめい	0	ち	し	地名を覚えるのは難しい。	氏名を書いてください。
2	定規	じょうぎ	2	将棋	しょうぎ	0	じょ	しょ	定規で線を引く。	父と将棋を指す。
2	工事	こうじ	2	講師	こうし	2	じ	し	道路の工事が始まった。	新しい講師が来た。
2	幼児	ようじ	2	幼稚	ようち	2	じ	ち	幼児向けの本を買った。	考えが幼稚だ。
2	幼児	ようじ	2	要旨	ようし	2	じ	し	幼児向けの本を買った。	論文の要旨を書く。
2	幼稚	ようち	2	要旨	ようし	2	ち	し	考えが幼稚だ。	論文の要旨を書く。
2	果実	かじつ	2	過失	かしつ	1	じ	し	果実を収穫する。	過失を認めて謝った。
2	消化	しょうか	2	超過	ちょうか	0	しょ	ちょ	消化に良い食べ物です。	時間を超過した。
2	漁師	りょうし	2	領事	りょうじ	2	し	じ	父は漁師です。	日本の領事に会った。
2	長女	ちょうじょ	2	長所	ちょうしょ	2	じょ	しょ	彼女は長女です。	彼の長所は優しさだ。
